Car-Name,Engine,Image,MPG,Seating,Transmission,Power,Drivetrain,Features
2019 Acura RDX,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90ACS122A021001.jpg,21 City / 27 Hwy,5 Passengers,10-spd auto w/OD,272 @ 6500 rpm,SH-AWD all wheel,"['2.0L I-4 Engine', '10-spd auto w/OD Transmission', '272 @ 6,500 rpm Horsepower', '280 @ 1,600 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '1st and 2nd row exterior express open/close sliding and tilting glass Sunroof', '19"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'leatherette Seat trim', 'driver and passenger Lumbar support']"
2019 Acura RLX Sport Hybrid,V-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90ACC171A021001.jpg,28 City / 29 Hwy,5 Passengers,7-spd auto-shift man w/OD,310 @ 6500 rpm,Sport Hybrid SH-AWD all wheel,"['3.5L V-6 Engine', '7-spd auto-shift man w/OD Transmission', '310 @ 6,500 rpm Horsepower', '273 @ 4,700 rpm Torque', 'Sport Hybrid SH-AWD all wheel Drive type', 'ABS and driveline Traction control', '1st row regular express open/close sliding and tilting glass Sunroof', '19"" machined w/painted accents aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/HD/Satellite, seek-scan Radio', '3 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'front Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Parking assist']"
2019 Acura NSX,V-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90ACC051A021001.jpg,21 City / 22 Hwy,2 Passengers,9-spd auto-shift man w/OD,500 @ 6500 rpm,Sport Hybrid SH-AWD all wheel,"['3.5L V-6 Engine', '9-spd auto-shift man w/OD Transmission', '500 @ 6,500 rpm Horsepower', '406 @ 2,000 rpm Torque', 'Sport Hybrid SH-AWD all wheel Drive type', 'ABS and driveline Traction control', '19"" painted forged aluminum Wheels', 'front air conditioning, dual zone automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'AM/FM/HD/Satellite-prep, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'Alcantara simulated suede/leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Parking assist']"
2019 Acura MDX,3.5LV-6,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90ACS111A021001.jpg,19 City / 26 Hwy,7 Passengers,9-spd w/OD,290 @ 6200 rpm,SH-AWD all wheel,"['3.5L V-6 Engine', '9-spd w/OD Transmission', '290 @ 6,200 rpm Horsepower', '267 @ 4,700 rpm Torque', 'front-wheel Drive type', 'ABS and driveline Traction control', '1st row regular express open/close sliding and tilting glass Sunroof', '18"" machined w/painted accents aluminum Wheels', 'front air conditioning, dual zone automatic', 'rear air conditioning, with separate controls', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SiriusXM AM/FM/Satellite, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'leather Seat trim', 'driver and passenger Lumbar support', '50-50 bench Third row seats']"
2019 Alfa Romeo Giulia,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70ALC321A021001.jpg,24 City / 33 Hwy,5 Passengers,8-spd auto w/OD,280 @ 5200 rpm,rear-wheel,"['2.0L I-4 Engine', '8-spd auto w/OD Transmission', '280 @ 5,200 rpm Horsepower', '306 @ 2,000 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '17"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM/Satellite-prep, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'ParkSense Parking assist']"
2019 Alfa Romeo 4C Spider,1.7LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC90ALC061A021001.jpg,24 City / 34 Hwy,2 Passengers,6-spd auto-shift man w/OD,237 @ 6000 rpm,rear-wheel,"['1.7L I-4 Engine', '6-spd auto-shift man w/OD Transmission', '237 @ 6,000 rpm Horsepower', '258 @ 2,200 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '1st row removable manual targa composite Sunroof', '17"" silver aluminum Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'leather Seat trim']"
2019 Alfa Romeo Stelvio,2.0LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80ALS011A021001.jpg,22 City / 28 Hwy,5 Passengers,8-spd auto w/OD,280 @ 5200 rpm,Q4 AWD System all wheel,"['2.0L I-4 Engine', '8-spd auto w/OD Transmission', '280 @ 5,200 rpm Horsepower', '306 @ 2,000 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '18"" silver aluminum Wheels', 'front air conditioning, dual zone automatic', 'AM/FM/Satellite-prep, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'ParkSense Parking assist']"
2018 Alfa Romeo 4C,1.7LI-4,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC80ALC051A021001.jpg,24 City / 34 Hwy,2 Passengers,6-spd auto-shift man w/OD,237 @ 6000 rpm,rear-wheel,"['1.7L I-4 Engine', '6-spd auto-shift man w/OD Transmission', '237 @ 6,000 rpm Horsepower', '258 @ 2,200 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '17"" silver aluminum Wheels', 'front air conditioning, manual', 'AM/FM stereo, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'cloth Seat trim']"
2019 Aston Martin Vanquish,6.0LV-12,https://s.aolcdn.com/dims-global/dims3/GLOB/legacy_thumbnail/788x525/quality/85/https://s.aolcdn.com/commerce/autodata/images/USC70ANC061B01303.jpg,13 City / 21 Hwy,2 Passengers,8-spd w/OD,580 @ 7000 rpm,rear-wheel,"['6.0L V-12 Engine', '8-spd w/OD Transmission', '580 @ 7,000 rpm Horsepower', '465 @ 5,500 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '20"" machined w/painted accents aluminum Wheels', 'front air conditioning, automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'SIRIUS AM/FM/Satellite, seek-scan Radio', '1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'rear Fog/driving lights', 'Heated mirrors', 'Windshield wipers - rain sensing', 'leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Parking assist']"
2019 Aston Martin DBS,5.2LV-12,https://s.aolcdn.com/os/ab/img/icons/image_unavailable_376x212.png, City /  Hwy,4 Passengers,8-spd w/OD,715 @ 6500 rpm,rear-wheel,"['5.2L V-12 Engine', '8-spd w/OD Transmission', '715 @ 6,500 rpm Horsepower', '663 @ 1,800 rpm Torque', 'rear-wheel Drive type', 'ABS and driveline Traction control', '21"" silver forged aluminum Wheels', 'front air conditioning, dual zone automatic', 'driver and front passenger heated-cushion, heated-seatback Heated front seats', 'AM/FM/HD/Satellite, seek-scan Radio', '2 - 1st row LCD monitor', 'keyfob (all doors) Remote keyless entry', 'Heated mirrors', 'Windshield wipers - rain sensing', 'Caithness/Alcantara simulated suede/leather Seat trim', 'driver and passenger Lumbar support', 'Navigation system', 'Parking assist']"
